id,label,smhi_id,municipality,parent,neighbours
smhi_136090,Krångede A,136090,Ragunda kommun,Jämtlands län,"smhi_135260,smhi_136020"
smhi_136260,Näsåker,136260,Sollefteå kommun,Västernorrlands län,"smhi_136410,smhi_137200,smhi_137090,smhi_137080,smhi_136360,smhi_127570,smhi_137100"
smhi_136360,Storfinnforsen,136360,Sollefteå kommun,Västernorrlands län,"smhi_136410,smhi_137200,smhi_137090,smhi_137080,smhi_136260,smhi_127570,smhi_137100"
smhi_136410,Junsele A,136410,Sollefteå kommun,Västernorrlands län,"smhi_137200,smhi_137090,smhi_137080,smhi_136360,smhi_136260,smhi_127570,smhi_137100"
smhi_136490,Backe D,136490,Strömsunds kommun,Jämtlands län,"smhi_145090,smhi_146050,smhi_135580,smhi_144230,smhi_144560,smhi_135350,smhi_143440,smhi_136560,smhi_144240,smhi_144310,smhi_145150,smhi_144220,smhi_144530,smhi_135550,smhi_145130,smhi_135460"
smhi_136560,Rossön,136560,Strömsunds kommun,Jämtlands län,"smhi_145090,smhi_146050,smhi_135580,smhi_144230,smhi_144560,smhi_135350,smhi_143440,smhi_136490,smhi_144240,smhi_144310,smhi_145150,smhi_144220,smhi_144530,smhi_135550,smhi_145130,smhi_135460"
smhi_137080,Forse,137080,Sollefteå kommun,Västernorrlands län,"smhi_136410,smhi_137200,smhi_137090,smhi_136360,smhi_136260,smhi_127570,smhi_137100"
smhi_137090,Multrå D,137090,Sollefteå kommun,Västernorrlands län,"smhi_136410,smhi_137200,smhi_136260,smhi_137080,smhi_136360,smhi_127570,smhi_137100"
smhi_137100,Sollefteå,137100,Sollefteå kommun,Västernorrlands län,"smhi_136410,smhi_137200,smhi_137090,smhi_137080,smhi_136360,smhi_136260,smhi_127570"
smhi_137200,Resele,137200,Sollefteå kommun,Västernorrlands län,"smhi_136410,smhi_137090,smhi_137080,smhi_136360,smhi_136260,smhi_127570,smhi_137100"
smhi_137220,Aspeå,137220,Örnsköldsviks kommun,Västernorrlands län,"smhi_138180,smhi_138390,smhi_138360,smhi_139120,smhi_138270,smhi_138240,smhi_138450,smhi_137350"
smhi_137350,Myckelgensjö,137350,Örnsköldsviks kommun,Västernorrlands län,"smhi_138180,smhi_138390,smhi_138360,smhi_139120,smhi_138270,smhi_138240,smhi_138450,smhi_137220"
smhi_138070,Västmarkum A,138070,Kramfors kommun,Västernorrlands län,"smhi_128590,smhi_127560,smhi_128500"
smhi_138180,Örnsköldsvik,138180,Örnsköldsviks kommun,Västernorrlands län,"smhi_138390,smhi_138360,smhi_139120,smhi_138270,smhi_137220,smhi_138450,smhi_137350,smhi_138240"
smhi_138240,Örnsköldsviks Flygplats,138240,Örnsköldsviks kommun,Västernorrlands län,"smhi_138180,smhi_138390,smhi_138360,smhi_139120,smhi_138270,smhi_137220,smhi_138450,smhi_137350"
smhi_138270,Bredbyn D,138270,Örnsköldsviks kommun,Västernorrlands län,"smhi_138180,smhi_138390,smhi_138360,smhi_139120,smhi_137220,smhi_138450,smhi_137350,smhi_138240"
smhi_138360,Hattsjöbäcken D,138360,Örnsköldsviks kommun,Västernorrlands län,"smhi_138180,smhi_138390,smhi_139120,smhi_138270,smhi_137220,smhi_138450,smhi_137350,smhi_138240"
